target,market_type,semantic_weight,threshold,threshold_high,threshold_side,question,end_date,closed,active,yes_price,volume,liquidity,market_id,slug
ETH,record_or_race,0.288,,,,Will ETH or SOL reach all-time high first?,2024-12-31T12:00:00Z,True,True,0.0,497965.892559,0.0,500149,will-eth-or-sol-reach-alltime-high-first
ETH,close_threshold,1.0,3500.0,,above,"ETH above $3,500 on Mar 29?",2024-03-29T12:00:00Z,True,True,0.0,82114.17,0.0,500404,eth-above-3500-on-mar-29
BTC,record_or_race,0.288,,,,"Will Bitcoin reach $80,000 in April?",2024-04-30T12:00:00Z,True,True,0.0,144119.74,0.0,500566,will-bitcoin-reach-80000-in-april
BTC,record_or_race,0.288,,,,"Will Bitcoin reach $90,000 in April?",2024-04-30T12:00:00Z,True,True,0.0,115101.69,0.0,500567,will-bitcoin-reach-90000-in-april
BTC,record_or_race,0.288,,,,"Will Bitcoin reach $100,000 in April?",2024-04-30T12:00:00Z,True,True,0.0,144019.29,0.0,500568,will-bitcoin-reach-100000-in-april
BTC,record_or_race,0.288,,,,"Will Bitcoin reach $75,000 in April?",2024-04-30T12:00:00Z,True,True,0.0,168686.38,0.0,500624,will-bitcoin-reach-75000-in-april
BTC,close_threshold,1.0,70000.0,,above,"Bitcoin above $70,000 on April 5?",2024-04-05T12:00:00Z,True,True,0.0,71406.88,0.0,500561,bitcoin-above-70000-on-april-5
BTC,close_threshold,1.0,70000.0,,above,"Bitcoin above $70,000 on April 12?",2024-04-12T12:00:00Z,True,True,0.0,39338.18,0.0,500763,bitcoin-above-70000-on-april-12
ETH,close_threshold,1.0,3500.0,,above,"Ethereum above $3,500 on April 12?",2024-04-12T12:00:00Z,True,True,0.0,39574.46,0.0,500764,ethereum-above-3500-on-april-12
BTC,institutional_proxy,0.11760000000000001,,,,$BITCOIN spot listed on Coinbase in April?,2024-04-30T12:00:00Z,True,True,0.0,7923.88,0.0,500901,bitcoin-spot-listed-on-coinbase-in-april
BTC,close_threshold,1.0,60000.0,,above,"Bitcoin above $60,000 on April 19?",2024-04-19T12:00:00Z,True,True,1.0,42423.42,0.0,500941,bitcoin-above-60000-on-april-19
ETH,close_threshold,1.0,3000.0,,above,"Ethereum above $3,000 on April 19?",2024-04-19T12:00:00Z,True,True,1.0,24462.72,0.0,500942,ethereum-above-3000-on-april-19
BTC,semantic_proxy,0.054,,,,Bitcoin price 24 hours after halving?,2024-04-19T12:00:00Z,True,True,1.0,76691.42,0.0,500955,bitcoin-price-24-hours-after-halvening
